dev_id,condition,sonar,coverage,loc_per_issue,cycle_time,conflicts,sentiment
0,GPT4o,91.99342830602247,87.58520709648644,458.86131228604154,22.569089569224076,0,0.2139520646100069
0,GPT4o,93.02103056961305,86.25736559792945,388.48981156931114,16.285859502737576,0,0.15379585811264476
0,GPT4o,87.55016433497393,86.31313741227709,359.2301327799346,18.94274199778582,0,0.16483280991462965
0,GPT4o,86.72075868784752,86.11157511722725,455.8632280147565,25.678464093113377,0,0.21971165109398005
0,GPT4o,88.69801284515539,89.12709405503702,383.9616786048717,17.124918750620168,1,0.19932513876310332
0,GPT4o,88.8845781420882,90.46763473630956,346.7493810017387,18.626590785014265,0,0.10201649380601123
0,GPT4o,91.43727663210773,90.64528311684583,359.45487942809353,13.250117359389337,0,0.17696806145201063
0,GPT4o,93.11424445243783,89.03085486870539,314.217590678236,18.972251908184386,0,0.18074588597918417
1,Claude,91.16424558942607,89.66324537878008,463.6599398065257,21.264993391734208,0,0.17803912383886808
1,Claude,89.38157524829757,87.9937902942107,468.53270762734155,17.56247728646413,0,0.21071705116680914
1,Claude,92.3594326894014,84.30537618163297,460.0877251538257,19.889684152986913,0,0.2380818012523817
1,Claude,88.70976049078975,88.08418681652525,502.2821939879582,18.892521882670145,0,0.2982321827907003
1,Claude,89.2027232199696,86.81740773757576,324.87497248451587,22.127474852018263,0,0.2090164056081244
1,Claude,90.7142251430235,91.43368213422455,378.90378690358114,16.574519191320437,2,0.19491214782077318
1,Claude,90.51423374011256,87.94353868758951,492.3117280129866,19.526659881864497,1,0.20716849086537228
1,Claude,89.26434855173447,90.82120086041867,392.4828397504628,11.03447185730959,0,0.2372758971944383
2,Gemini,88.31457096694646,83.59316819233514,390.32285730003946,21.212152570443614,0,0.13284715957663687
2,Gemini,91.80791747731858,85.94434758646508,299.5897226805866,16.782404496693026,0,0.13037069102984047
2,Gemini,89.12046041988205,93.38972633745585,388.45834211313263,20.904642027000836,0,0.1969910482093322
2,Gemini,88.98523970011085,88.30189051611922,331.0124453503385,17.673991682129166,1,0.21865704279446244
2,Gemini,91.81041061175638,90.17697726047571,347.16155088821387,20.230684845753714,1,0.2653302476839231
2,Gemini,90.74717883127076,86.02743303722042,378.0676421900474,21.947260197887317,0,0.11885632316623465
